n,m,k,flops
50, 50, 1,  4.295335e+08
50, 50, 3000,  4.283341e+08 
100, 50, 1,  4.812843e+08 
100, 50, 3000,  4.695881e+08 
50, 100, 1,  4.781540e+08 
50, 100, 3000,  4.758516e+08 
50, 50, 1,  4.424391e+08 
50, 50, 3000,  4.250698e+08 
100, 50, 1,  4.756094e+08 
100, 50, 3000,  4.737233e+08 
50, 100, 1,  4.795885e+08 
50, 100, 3000,  4.701330e+08 
50, 50, 1,  4.404516e+08 
50, 50, 3000,  4.349849e+08 
100, 50, 1,  4.788242e+08 
100, 50, 3000,  4.750890e+08 
50, 100, 1,  4.848278e+08 
50, 100, 3000,  4.713264e+08 
50, 50, 1,  4.256773e+08 
50, 50, 3000,  4.368804e+08 
100, 50, 1,  4.759240e+08 
100, 50, 3000,  4.721752e+08 
50, 100, 1,  4.837933e+08 
50, 100, 3000,  4.767557e+08 
50, 50, 1,  4.346028e+08 
50, 50, 3000,  4.307461e+08 
100, 50, 1,  4.804033e+08 
100, 50, 3000,  4.736578e+08 
50, 100, 1,  4.852398e+08 
50, 100, 3000,  4.703566e+08 
50, 50, 1,  4.268137e+08 
50, 50, 3000,  4.452173e+08 
100, 50, 1,  4.732233e+08 
100, 50, 3000,  4.736371e+08 
50, 100, 1,  4.848142e+08 
50, 100, 3000,  4.656539e+08 
50, 50, 1,  4.347630e+08 
50, 50, 3000,  4.443651e+08 
100, 50, 1,  4.759407e+08 
100, 50, 3000,  4.636336e+08 
50, 100, 1,  4.422223e+08 
50, 100, 3000,  4.647315e+08 
50, 50, 1,  4.376034e+08 
50, 50, 3000,  4.264130e+08 
100, 50, 1,  4.759548e+08 
100, 50, 3000,  4.678180e+08 
50, 100, 1,  4.844240e+08 
50, 100, 3000,  4.712684e+08 
50, 50, 1,  4.343153e+08 
50, 50, 3000,  4.458317e+08 
100, 50, 1,  4.756660e+08 
100, 50, 3000,  4.677283e+08 
50, 100, 1,  4.794904e+08 
50, 100, 3000,  4.709333e+08 
50, 50, 1,  4.414662e+08 
50, 50, 3000,  4.388844e+08 
100, 50, 1,  4.731331e+08 
100, 50, 3000,  4.733227e+08 
50, 100, 1,  4.851067e+08 
50, 100, 3000,  4.621315e+08 
50, 50, 1,  4.340016e+08 
50, 50, 3000,  4.353980e+08 
100, 50, 1,  4.821247e+08 
100, 50, 3000,  4.672484e+08 
50, 100, 1,  4.800628e+08 
50, 100, 3000,  4.715695e+08 
50, 50, 1,  4.347349e+08 
50, 50, 3000,  4.269542e+08 
100, 50, 1,  4.766700e+08 
100, 50, 3000,  4.631476e+08 
50, 100, 1,  4.801295e+08 
50, 100, 3000,  4.721366e+08 
50, 50, 1,  4.386071e+08 
50, 50, 3000,  4.449459e+08 
100, 50, 1,  4.781878e+08 
100, 50, 3000,  4.677425e+08 
50, 100, 1,  4.793293e+08 
50, 100, 3000,  4.719073e+08 
50, 50, 1,  4.338475e+08 
50, 50, 3000,  4.264838e+08 
100, 50, 1,  4.773569e+08 
100, 50, 3000,  4.791031e+08 
50, 100, 1,  4.758849e+08 
50, 100, 3000,  4.772993e+08 
50, 50, 1,  4.263029e+08 
50, 50, 3000,  4.347022e+08 
100, 50, 1,  4.428125e+08 
100, 50, 3000,  4.730218e+08 
50, 100, 1,  4.741354e+08 
50, 100, 3000,  4.677605e+08 
75, 75, 1,  4.840235e+08 
75, 75, 3000,  4.790709e+08 
100, 75, 1,  4.959893e+08 
100, 75, 3000,  4.825315e+08 
75, 100, 1,  4.902305e+08 
75, 100, 3000,  4.794549e+08 
75, 75, 1,  4.841904e+08 
75, 75, 3000,  4.756335e+08 
100, 75, 1,  5.011046e+08 
100, 75, 3000,  4.827729e+08 
75, 100, 1,  4.967667e+08 
75, 100, 3000,  4.860840e+08 
75, 75, 1,  4.873856e+08 
75, 75, 3000,  4.788981e+08 
100, 75, 1,  5.001182e+08 
100, 75, 3000,  4.821537e+08 
75, 100, 1,  4.951936e+08 
75, 100, 3000,  4.829924e+08 
75, 75, 1,  4.836138e+08 
75, 75, 3000,  4.758584e+08 
100, 75, 1,  4.902336e+08 
100, 75, 3000,  4.862167e+08 
75, 100, 1,  4.953158e+08 
75, 100, 3000,  4.834916e+08 
75, 75, 1,  4.761066e+08 
75, 75, 3000,  4.796217e+08 
100, 75, 1,  4.954432e+08 
100, 75, 3000,  4.854821e+08 
75, 100, 1,  4.832789e+08 
75, 100, 3000,  4.830558e+08 
75, 75, 1,  4.888074e+08 
75, 75, 3000,  4.746817e+08 
100, 75, 1,  4.927917e+08 
100, 75, 3000,  4.837337e+08 
75, 100, 1,  4.989295e+08 
