version, runtime
sequential,7.154258
sequential,7.146112
sequential,7.153866
sequential,7.141440
sequential,7.209752
sequential,7.145089
sequential,7.148484
sequential,7.151816
sequential,7.168454
sequential,7.152769
sequential,7.212467
sequential,7.169009
sequential,7.211373
sequential,7.143762
sequential,7.155222
sequential,7.148089
sequential,7.389377
sequential,7.140567
sequential,7.265751
sequential,7.152208
sequential,7.162144
sequential,7.150650
sequential,7.160567
sequential,7.150158
sequential,7.151087
sequential,7.148191
sequential,7.386988
sequential,7.153898
sequential,7.215375
sequential,7.151586
sequential,7.162310
sequential,7.260082
sequential,7.165371
sequential,7.154775
sequential,7.194748
sequential,7.150418
sequential,7.162240
sequential,7.149179
sequential,7.159507
sequential,7.139684
sequential,7.208448
sequential,7.145614
sequential,7.166022
sequential,7.151675
sequential,7.158796
sequential,7.156255
sequential,7.160556
sequential,7.150087
sequential,7.167398
sequential,7.156126
sequential,7.166831
sequential,7.150811
sequential,7.175501
sequential,7.143004
sequential,7.154480
sequential,7.140805
sequential,7.167294
sequential,7.146083
sequential,7.162032
sequential,7.159196
sequential,7.161946
sequential,7.145369
sequential,7.160726
sequential,7.141474
sequential,7.175459
sequential,7.198561
sequential,7.168195
sequential,7.144739
sequential,7.156455
sequential,7.148371
sequential,7.390479
sequential,7.153948
sequential,7.155227
sequential,7.145274
sequential,7.154876
sequential,7.153294
sequential,7.156567
sequential,7.151419
sequential,7.167539
sequential,7.146017
sequential,7.173745
sequential,7.152763
sequential,7.156649
sequential,7.155534
sequential,7.157028
sequential,7.155558
sequential,7.165329
sequential,7.147280
sequential,7.153757
sequential,7.192401
sequential,7.171440
sequential,7.181613
sequential,7.158410
sequential,7.159497
sequential,7.163714
sequential,7.151747
sequential,7.159508
sequential,7.148695
sequential,7.145133
sequential,7.145216
parallel_v1_onlynested,2.836470
parallel_v1_onlynested,2.820905
parallel_v1_onlynested,2.806342
parallel_v1_onlynested,2.841832
parallel_v1_onlynested,2.808608
parallel_v1_onlynested,2.909540
parallel_v1_onlynested,2.792878
parallel_v1_onlynested,2.845994
parallel_v1_onlynested,2.751937
parallel_v1_onlynested,2.825601
parallel_v1_onlynested,2.770947
parallel_v1_onlynested,2.863607
parallel_v1_onlynested,2.841454
parallel_v1_onlynested,2.900099
parallel_v1_onlynested,2.783076
parallel_v1_onlynested,2.842615
parallel_v1_onlynested,2.863438
parallel_v1_onlynested,2.819308
parallel_v1_onlynested,2.827582
parallel_v1_onlynested,2.767371
parallel_v1_onlynested,2.862975
parallel_v1_onlynested,2.854178
parallel_v1_onlynested,2.857506
parallel_v1_onlynested,2.841271
parallel_v1_onlynested,2.803100
parallel_v1_onlynested,2.878716
parallel_v1_onlynested,2.819778
parallel_v1_onlynested,2.800667
parallel_v1_onlynested,2.804455
parallel_v1_onlynested,2.787962
parallel_v1_onlynested,2.832664
parallel_v1_onlynested,2.849615
parallel_v1_onlynested,2.845201
parallel_v1_onlynested,2.894870
parallel_v1_onlynested,2.813684
parallel_v1_onlynested,2.834099
parallel_v1_onlynested,2.783685
parallel_v1_onlynested,2.749004
parallel_v1_onlynested,2.843734
parallel_v1_onlynested,2.832593
parallel_v1_onlynested,2.807627
parallel_v1_onlynested,2.848934
parallel_v1_onlynested,2.797322
parallel_v1_onlynested,2.802559
parallel_v1_onlynested,2.855399
parallel_v1_onlynested,2.865400
parallel_v1_onlynested,2.829212
parallel_v1_onlynested,2.741500
parallel_v1_onlynested,2.838399
parallel_v1_onlynested,2.808720
parallel_v1_onlynested,2.856027
parallel_v1_onlynested,2.829723
parallel_v1_onlynested,2.796555
parallel_v1_onlynested,2.784911
parallel_v1_onlynested,2.866741
parallel_v1_onlynested,2.833927
parallel_v1_onlynested,2.883766
parallel_v1_onlynested,2.891964
parallel_v1_onlynested,2.902699
parallel_v1_onlynested,2.842659
parallel_v1_onlynested,2.910067
parallel_v1_onlynested,2.793133
parallel_v1_onlynested,2.840978
parallel_v1_onlynested,2.809271
parallel_v1_onlynested,2.731427
parallel_v1_onlynested,2.800377
parallel_v1_onlynested,2.854607
parallel_v1_onlynested,2.818753
parallel_v1_onlynested,2.784513
parallel_v1_onlynested,2.838156
parallel_v1_onlynested,2.733140
parallel_v1_onlynested,2.790965
parallel_v1_onlynested,2.863019
parallel_v1_onlynested,2.829503
parallel_v1_onlynested,2.913896
parallel_v1_onlynested,2.847125
parallel_v1_onlynested,2.841482
parallel_v1_onlynested,2.797161
parallel_v1_onlynested,2.369738
parallel_v1_onlynested,2.786526
parallel_v1_onlynested,2.833471
parallel_v1_onlynested,2.913145
parallel_v1_onlynested,2.738247
parallel_v1_onlynested,2.793343
parallel_v1_onlynested,2.730902
parallel_v1_onlynested,2.884772
parallel_v1_onlynested,2.809837
parallel_v1_onlynested,2.792434
parallel_v1_onlynested,2.850486
parallel_v1_onlynested,2.872323
parallel_v1_onlynested,2.900966
parallel_v1_onlynested,2.819389
parallel_v1_onlynested,2.797489
parallel_v1_onlynested,2.755735
parallel_v1_onlynested,2.781964
parallel_v1_onlynested,2.789191
parallel_v1_onlynested,2.874887
parallel_v1_onlynested,2.774367
parallel_v1_onlynested,2.862134
parallel_v1_onlynested,2.875711
parallel_v2_onlyouter,7.276794
parallel_v2_onlyouter,7.269975
parallel_v2_onlyouter,7.268942
parallel_v2_onlyouter,7.398013
parallel_v2_onlyouter,7.269314
parallel_v2_onlyouter,7.266585
parallel_v2_onlyouter,7.260795
parallel_v2_onlyouter,7.364811
parallel_v2_onlyouter,7.282853
parallel_v2_onlyouter,7.550129
parallel_v2_onlyouter,7.268621
parallel_v2_onlyouter,7.272432
parallel_v2_onlyouter,7.274663
parallel_v2_onlyouter,7.273369
parallel_v2_onlyouter,7.271500
parallel_v2_onlyouter,7.312083
parallel_v2_onlyouter,7.286099
parallel_v2_onlyouter,7.274588
parallel_v2_onlyouter,7.275032
parallel_v2_onlyouter,7.275683
parallel_v2_onlyouter,7.272277
parallel_v2_onlyouter,7.286840
parallel_v2_onlyouter,7.272713
parallel_v2_onlyouter,7.272230
parallel_v2_onlyouter,7.272056
parallel_v2_onlyouter,7.265329
parallel_v2_onlyouter,7.274172
parallel_v2_onlyouter,7.315270
parallel_v2_onlyouter,7.269522
parallel_v2_onlyouter,7.271403
parallel_v2_onlyouter,7.270448
parallel_v2_onlyouter,7.279954
parallel_v2_onlyouter,7.276498
parallel_v2_onlyouter,7.276225
parallel_v2_onlyouter,7.269788
parallel_v2_onlyouter,7.276118
parallel_v2_onlyouter,7.266156
parallel_v2_onlyouter,7.267796
parallel_v2_onlyouter,7.281238
parallel_v2_onlyouter,7.313692
parallel_v2_onlyouter,7.271346
parallel_v2_onlyouter,7.273636
parallel_v2_onlyouter,7.266365
