version,runtime
sequential,7.881352
sequential,7.877521
sequential,7.881262
sequential,7.891460
sequential,7.883161
sequential,7.879637
sequential,7.883811
sequential,7.878530
sequential,7.875845
sequential,7.881008
sequential,7.888755
sequential,7.884180
sequential,7.875866
sequential,7.881761
sequential,7.880989
sequential,7.884909
sequential,
sequential,7.879231
sequential,7.953963
sequential,7.856805
sequential,7.892722
sequential,7.878046
sequential,7.876771
sequential,7.875216
sequential,7.877487
sequential,7.883712
sequential,7.931340
sequential,7.875199
sequential,7.880507
sequential,7.886320
sequential,7.884528
sequential,7.874064
sequential,7.884119
sequential,7.875145
sequential,7.873488
sequential,7.882554
sequential,7.888555
sequential,7.875641
sequential,7.879809
sequential,7.879242
sequential,7.879928
sequential,7.889672
sequential,7.881569
sequential,7.886019
sequential,7.879749
sequential,7.892576
sequential,7.880984
sequential,7.876226
sequential,7.880682
sequential,7.917261
sequential,7.898242
sequential,7.879971
sequential,7.871213
sequential,7.891526
sequential,7.881117
sequential,7.879779
sequential,7.890750
sequential,7.876688
sequential,7.872827
sequential,7.889646
sequential,7.874862
sequential,7.884876
sequential,7.882385
sequential,7.880253
sequential,7.887851
sequential,7.878730
sequential,7.890385
sequential,7.878037
sequential,7.883699
sequential,7.887119
sequential,7.893618
sequential,7.874226
sequential,7.925605
sequential,7.917560
sequential,7.873018
sequential,7.881284
sequential,7.871922
sequential,7.891555
sequential,7.895303
sequential,7.877607
sequential,7.881982
sequential,7.878287
sequential,8.002975
sequential,7.926442
sequential,7.873736
sequential,7.882380
sequential,7.882505
sequential,7.876285
sequential,7.886374
sequential,7.874739
sequential,7.871501
sequential,7.893597
sequential,7.888842
sequential,7.881972
sequential,7.920337
sequential,7.882684
sequential,7.873063
sequential,8.106047
sequential,7.893205
sequential,7.881740
parallel_v1_onlynested,3.272347
parallel_v1_onlynested,3.274887
parallel_v1_onlynested,3.269373
parallel_v1_onlynested,3.269185
parallel_v1_onlynested,3.267257
parallel_v1_onlynested,3.274005
parallel_v1_onlynested,3.269048
parallel_v1_onlynested,3.268300
parallel_v1_onlynested,3.275718
parallel_v1_onlynested,3.282216
parallel_v1_onlynested,3.294940
parallel_v1_onlynested,3.287248
parallel_v1_onlynested,3.290493
parallel_v1_onlynested,3.335260
parallel_v1_onlynested,3.342534
parallel_v1_onlynested,3.273225
parallel_v1_onlynested,3.277075
parallel_v1_onlynested,3.276182
parallel_v1_onlynested,3.278639
parallel_v1_onlynested,3.338950
parallel_v1_onlynested,3.276928
parallel_v1_onlynested,3.279041
parallel_v1_onlynested,3.344013
parallel_v1_onlynested,3.275179
parallel_v1_onlynested,3.276532
parallel_v1_onlynested,3.275528
parallel_v1_onlynested,3.311271
parallel_v1_onlynested,3.268853
parallel_v1_onlynested,3.271058
parallel_v1_onlynested,3.268155
parallel_v1_onlynested,3.270782
parallel_v1_onlynested,3.268286
parallel_v1_onlynested,3.273023
parallel_v1_onlynested,3.290343
parallel_v1_onlynested,3.302633
parallel_v1_onlynested,3.272521
parallel_v1_onlynested,3.270791
parallel_v1_onlynested,3.278716
parallel_v1_onlynested,3.334257
parallel_v1_onlynested,3.385286
parallel_v1_onlynested,3.270342
parallel_v1_onlynested,3.267859
parallel_v1_onlynested,3.281066
parallel_v1_onlynested,3.323712
parallel_v1_onlynested,3.272298
parallel_v1_onlynested,3.281240
parallel_v1_onlynested,3.289299
parallel_v1_onlynested,3.345590
parallel_v1_onlynested,3.281228
parallel_v1_onlynested,3.288838
parallel_v1_onlynested,3.275569
parallel_v1_onlynested,3.278091
parallel_v1_onlynested,3.348470
parallel_v1_onlynested,3.287573
parallel_v1_onlynested,3.269987
parallel_v1_onlynested,3.299034
parallel_v1_onlynested,3.286278
parallel_v1_onlynested,3.278975
parallel_v1_onlynested,3.301122
parallel_v1_onlynested,3.278621
parallel_v1_onlynested,3.270281
parallel_v1_onlynested,3.271536
parallel_v1_onlynested,3.301559
parallel_v1_onlynested,3.293664
parallel_v1_onlynested,3.296714
parallel_v1_onlynested,3.272020
parallel_v1_onlynested,3.273214
parallel_v1_onlynested,3.271704
parallel_v1_onlynested,3.269120
parallel_v1_onlynested,3.281944
parallel_v1_onlynested,3.327905
parallel_v1_onlynested,3.270789
parallel_v1_onlynested,3.271933
parallel_v1_onlynested,3.421535
parallel_v1_onlynested,3.269176
parallel_v1_onlynested,3.273779
