version, runtime
sequential,1.048079
sequential,1.020350
sequential,1.010339
sequential,1.042022
sequential,1.055492
sequential,1.016869
sequential,1.006299
sequential,1.020978
sequential,1.013830
sequential,1.052413
sequential,1.071861
sequential,1.121106
sequential,1.074428
sequential,1.007503
sequential,1.044586
sequential,1.031677
sequential,1.076001
sequential,1.008818
sequential,1.033224
sequential,1.018109
sequential,1.013146
sequential,1.040054
sequential,1.078821
sequential,1.107939
sequential,1.022476
sequential,1.040047
sequential,1.078221
sequential,1.009886
sequential,1.032778
sequential,1.027608
sequential,1.128222
sequential,1.006824
sequential,1.084581
sequential,1.033081
sequential,1.013466
sequential,1.079371
sequential,1.079069
sequential,1.009897
sequential,1.056081
sequential,1.043840
sequential,1.057109
sequential,1.012415
sequential,1.016076
sequential,1.005266
sequential,1.032998
sequential,1.054307
sequential,1.080294
sequential,1.040875
sequential,1.010388
sequential,1.039772
sequential,1.047816
sequential,1.033792
sequential,1.010213
sequential,1.081591
sequential,1.052120
sequential,1.042605
sequential,1.009553
sequential,1.032488
sequential,1.077654
sequential,1.040513
sequential,1.054110
sequential,1.036561
sequential,1.013987
sequential,1.048134
sequential,1.077259
sequential,1.131552
sequential,1.009405
sequential,1.116545
sequential,1.065530
sequential,1.049261
sequential,1.048654
sequential,9.917403
sequential,1.036675
sequential,1.049578
sequential,1.022382
sequential,1.033575
sequential,1.043894
sequential,1.040746
sequential,1.011596
sequential,1.014839
sequential,1.024497
sequential,1.007540
sequential,1.089013
sequential,1.093413
sequential,1.022186
sequential,1.075147
sequential,9.831261
sequential,1.008237
sequential,1.035638
sequential,1.032938
sequential,1.035134
sequential,1.045458
sequential,1.087788
sequential,1.008769
sequential,1.018133
sequential,1.008459
sequential,1.050578
sequential,1.132603
sequential,1.062230
sequential,1.039547
parallel_v1_onlynested,7.736973
parallel_v1_onlynested,7.413311
parallel_v1_onlynested,7.865711
parallel_v1_onlynested,7.818643
parallel_v1_onlynested,7.488813
parallel_v1_onlynested,7.640848
parallel_v1_onlynested,7.690563
parallel_v1_onlynested,7.423431
parallel_v1_onlynested,7.573555
parallel_v1_onlynested,7.668503
parallel_v1_onlynested,9.425693
parallel_v1_onlynested,7.468300
parallel_v1_onlynested,7.637840
parallel_v1_onlynested,7.538871
parallel_v1_onlynested,7.590017
parallel_v1_onlynested,7.654170
parallel_v1_onlynested,7.315282
parallel_v1_onlynested,7.614355
parallel_v1_onlynested,7.920581
parallel_v1_onlynested,7.765035
parallel_v1_onlynested,7.622425
parallel_v1_onlynested,7.685015
parallel_v1_onlynested,7.739422
parallel_v1_onlynested,7.679509
parallel_v1_onlynested,7.322728
parallel_v1_onlynested,7.531734
parallel_v1_onlynested,7.571156
parallel_v1_onlynested,9.567341
parallel_v1_onlynested,7.668051
parallel_v1_onlynested,8.069816
parallel_v1_onlynested,8.026852
parallel_v1_onlynested,7.455038
parallel_v1_onlynested,8.032463
parallel_v1_onlynested,7.773453
parallel_v1_onlynested,7.505864
parallel_v1_onlynested,7.624577
parallel_v1_onlynested,7.700205
parallel_v1_onlynested,7.450030
parallel_v1_onlynested,7.739140
parallel_v1_onlynested,7.537851
parallel_v1_onlynested,7.643461
parallel_v1_onlynested,7.698753
parallel_v1_onlynested,7.299166
parallel_v1_onlynested,8.122848
parallel_v1_onlynested,7.553922
