version, runtime
parallel,1.703073
parallel,1.696513
parallel,1.701875
parallel,1.673941
parallel,1.706837
parallel,1.662079
parallel,1.685300
parallel,1.689444
parallel,1.675648
parallel,1.686274
parallel,1.660740
parallel,1.686852
parallel,1.696411
parallel,1.662348
parallel,1.650134
parallel,1.717706
parallel,1.678432
parallel,1.698877
parallel,1.675088
parallel,1.681443
parallel,1.702780
parallel,1.642808
parallel,1.699697
parallel,1.647260
parallel,1.675586
parallel,1.681883
parallel,1.713594
parallel,1.695068
parallel,1.699275
parallel,1.697327
parallel,1.675167
parallel,1.683818
parallel,1.662525
parallel,1.676392
parallel,1.659907
parallel,1.685921
parallel,1.665636
parallel,1.665379
parallel,1.681816
parallel,1.703431
parallel_v1_onlynested,8.061715
parallel_v1_onlynested,7.478981
parallel_v1_onlynested,7.394749
parallel_v1_onlynested,8.649979
parallel_v1_onlynested,7.333467
parallel_v1_onlynested,7.670073
parallel_v1_onlynested,7.799990
parallel_v1_onlynested,7.593576
parallel_v1_onlynested,7.446422
parallel_v1_onlynested,7.871236
parallel_v1_onlynested,7.562939
parallel_v1_onlynested,7.597284
parallel_v1_onlynested,7.558372
parallel_v1_onlynested,7.595312
parallel_v1_onlynested,7.598390
parallel_v1_onlynested,7.647138
parallel_v1_onlynested,8.366651
parallel_v1_onlynested,8.470326
parallel_v1_onlynested,8.228396
parallel_v1_onlynested,7.294498
parallel_v1_onlynested,7.415930
parallel_v1_onlynested,7.757590
parallel_v1_onlynested,9.009911
parallel_v1_onlynested,7.525278
parallel_v1_onlynested,7.575450
parallel_v1_onlynested,7.949388
parallel_v1_onlynested,7.820938
parallel_v1_onlynested,7.401694
parallel_v1_onlynested,7.709135
parallel_v1_onlynested,8.157393
parallel_v1_onlynested,7.520174
parallel_v1_onlynested,7.631338
parallel_v1_onlynested,7.542932
parallel_v1_onlynested,7.468684
parallel_v1_onlynested,7.796462
parallel_v1_onlynested,7.827248
parallel_v1_onlynested,8.015736
parallel_v1_onlynested,8.136462
parallel_v1_onlynested,7.780255
parallel_v1_onlynested,8.017623
parallel_v2_onlyouter,1.061744
parallel_v2_onlyouter,1.034880
parallel_v2_onlyouter,1.055147
parallel_v2_onlyouter,1.071450
parallel_v2_onlyouter,1.096487
parallel_v2_onlyouter,1.055343
parallel_v2_onlyouter,1.057161
parallel_v2_onlyouter,1.061444
parallel_v2_onlyouter,9.883631
parallel_v2_onlyouter,1.093147
parallel_v2_onlyouter,1.048608
parallel_v2_onlyouter,9.717021
parallel_v2_onlyouter,1.117369
parallel_v2_onlyouter,9.745153
parallel_v2_onlyouter,1.009607
parallel_v2_onlyouter,1.054554
parallel_v2_onlyouter,9.728924
parallel_v2_onlyouter,9.961870
parallel_v2_onlyouter,1.062929
parallel_v2_onlyouter,1.010537
parallel_v2_onlyouter,1.033629
parallel_v2_onlyouter,1.042436
parallel_v2_onlyouter,1.023479
parallel_v2_onlyouter,1.026528
parallel_v2_onlyouter,1.091110
parallel_v2_onlyouter,1.048604
parallel_v2_onlyouter,1.013218
