version,inner_max,len_outer,runtime
sequential,200,200, 8.894430
sequential,200,1000, 4.170689
sequential,200,10000, 3.702855
sequential,200,50000, 1.345583
sequential,200,100000, 2.383085
sequential,1000,200, 3.377326
sequential,1000,1000, 1.583825
sequential,1000,10000, 1.126124
sequential,1000,50000, 4.821589
sequential,1000,100000, 8.785367
sequential,10000,200, 3.056844
sequential,10000,1000, 1.198089
sequential,10000,10000, 9.019370
sequential,10000,50000, 3.907411
sequential,10000,100000, 7.881269
sequential,50000,200, 1.242902
sequential,50000,1000, 5.412965
sequential,50000,10000, 4.250752
sequential,50000,50000, 2.142551
sequential,50000,100000, 4.308192
sequential,100000,200, 2.459803
sequential,100000,1000, 1.018228
sequential,100000,10000, 8.913112
sequential,100000,50000, 4.478828
sequential,100000,100000, 9.296044
parallel_v1_onlynested,200,200, 4.576507
parallel_v1_onlynested,200,1000, 2.340124
parallel_v1_onlynested,200,10000, 1.494926
parallel_v1_onlynested,200,50000, 6.660317
parallel_v1_onlynested,200,100000, 1.143181
parallel_v1_onlynested,1000,200, 1.557044
parallel_v1_onlynested,1000,1000, 6.967130
parallel_v1_onlynested,1000,10000, 4.779366
parallel_v1_onlynested,1000,50000, 1.890941
parallel_v1_onlynested,1000,100000, 3.504199
parallel_v1_onlynested,10000,200, 1.065798
parallel_v1_onlynested,10000,1000, 4.319811
parallel_v1_onlynested,10000,10000, 3.382674
parallel_v1_onlynested,10000,50000, 1.645797
parallel_v1_onlynested,10000,100000, 3.273148
parallel_v1_onlynested,50000,200, 4.396555
parallel_v1_onlynested,50000,1000, 1.810404
parallel_v1_onlynested,50000,10000, 1.661354
parallel_v1_onlynested,50000,50000, 8.287343
parallel_v1_onlynested,50000,100000, 1.665346
parallel_v1_onlynested,100000,200, 8.686227
parallel_v1_onlynested,100000,1000, 3.670824
parallel_v1_onlynested,100000,10000, 3.454040
parallel_v1_onlynested,100000,50000, 1.716807
parallel_v1_onlynested,100000,100000, 3.485613
parallel_v2_onlyouter,200,200, 1.134856
parallel_v2_onlyouter,200,1000, 1.440067
parallel_v2_onlyouter,200,10000, 4.782507
parallel_v2_onlyouter,200,50000, 2.067972
parallel_v2_onlyouter,200,100000, 3.644273
parallel_v2_onlyouter,1000,200, 1.182818
parallel_v2_onlyouter,1000,1000, 2.263274
parallel_v2_onlyouter,1000,10000, 1.212902
parallel_v2_onlyouter,1000,50000, 5.240778
parallel_v2_onlyouter,1000,100000, 9.805171
parallel_v2_onlyouter,10000,200, 3.588963
parallel_v2_onlyouter,10000,1000, 1.231081
parallel_v2_onlyouter,10000,10000, 9.021622
parallel_v2_onlyouter,10000,50000, 3.445152
parallel_v2_onlyouter,10000,100000, 6.485806
parallel_v2_onlyouter,50000,200, 1.473778
parallel_v2_onlyouter,50000,1000, 5.684722
parallel_v2_onlyouter,50000,10000, 3.636772
parallel_v2_onlyouter,50000,50000, 2.212398
parallel_v2_onlyouter,50000,100000, 5.497594
parallel_v2_onlyouter,100000,200, 2.963270
parallel_v2_onlyouter,100000,1000, 1.054607
parallel_v2_onlyouter,100000,10000, 7.284302
parallel_v2_onlyouter,100000,50000, 5.743119
parallel_v2_onlyouter,100000,100000, 1.194199
