nr_outer_threads, runtime
1,1.684560
1,1.679293
1,1.674150
1,1.672761
1,1.664417
1,1.693820
1,1.635383
1,1.662202
1,1.660789
1,1.695608
1,1.662080
1,1.654824
1,1.686395
1,1.674964
1,1.691746
1,1.677200
1,1.693174
1,1.715571
1,1.684102
1,1.696657
1,1.689038
1,1.695433
1,1.689635
1,1.683184
1,1.674783
1,1.642985
1,1.676057
1,1.649342
1,1.691460
1,1.662399
1,1.680849
1,1.686761
1,1.648438
1,1.663450
1,1.686662
1,1.696533
1,1.675566
1,1.657898
1,1.655365
1,1.678481
1,1.635890
1,1.681553
1,1.654417
1,1.684306
1,1.662738
1,1.684192
1,1.658364
1,1.661012
1,1.651201
1,1.661920
1,1.690704
1,1.653441
1,1.669244
1,1.685955
1,1.670119
1,1.646654
1,1.698032
1,1.683151
1,1.670391
1,1.652699
1,1.673975
1,1.647870
1,1.664923
1,1.631123
1,1.690554
1,1.653049
1,1.673234
1,1.666454
1,1.657577
1,1.690620
1,1.654490
1,1.657925
1,1.659557
1,1.675350
1,1.658720
1,1.661024
1,1.650649
1,1.668095
1,1.655341
1,1.668200
1,1.668732
1,1.657511
1,1.654385
1,1.644524
1,1.662629
1,1.683234
1,1.659457
1,1.665256
1,1.655130
1,1.682871
1,1.651239
1,1.668716
1,1.661734
1,1.645077
1,1.660450
1,1.697493
1,1.693214
1,1.653782
1,1.656842
1,1.696103
2,2.642409
2,2.419320
2,2.599308
2,2.352453
2,2.429586
2,2.622342
2,2.431100
2,2.317880
2,2.562842
2,2.604934
2,2.610443
2,2.619767
2,2.603439
2,2.631676
2,2.568815
2,2.625027
2,2.668957
2,2.602669
2,2.575733
2,2.593130
2,2.591166
2,2.660785
2,2.646146
2,2.607205
2,2.660030
2,2.571709
2,2.537660
2,2.563314
2,2.568741
2,2.597898
2,2.557031
2,2.584398
2,2.597598
2,2.630137
2,2.584516
2,2.590365
2,2.565822
2,2.510704
2,2.614518
2,2.565586
2,2.585705
2,2.562494
2,2.621152
2,2.620357
2,2.589489
2,2.626692
2,2.521438
2,2.601434
2,2.567884
2,2.573990
2,2.591829
2,2.502293
2,2.604236
2,2.612234
2,2.637033
2,2.592644
2,2.505998
2,2.623593
2,2.623869
2,2.565387
2,2.615527
2,2.562387
2,2.578461
2,2.579208
2,2.589945
2,2.601386
2,2.600006
2,2.599729
2,2.617322
2,2.613443
2,2.628853
2,2.602688
2,2.602888
2,2.780944
2,2.595174
2,2.565840
2,2.682045
2,2.567069
2,2.560574
2,2.602315
2,2.583587
2,2.543264
2,2.637129
2,2.617302
2,2.563625
2,2.591288
2,2.650465
2,2.576696
2,2.636089
2,2.592411
2,2.588648
2,2.583379
2,2.639163
