version,pattern,thread,n_rows,n_cols,time_elapsed
histo_atomic, areas, 1, 1000,1000,1.505107e-02
histo_atomic, areas, 1,10000,100,1.530570e-02
histo_atomic, areas, 1,100,10000,1.530523e-02
histo_atomic, plasma, 1, 1000,1000,1.537200e-02
histo_atomic, plasma, 1,10000,100,1.519281e-02
histo_atomic, plasma, 1,100,10000,1.564272e-02
histo_atomic, gradient, 1, 1000,1000,1.556053e-02
histo_atomic, gradient, 1,10000,100,1.563397e-02
histo_atomic, gradient, 1,100,10000,1.571877e-02
histo_atomic, uni, 1, 1000,1000,1.575100e-02
histo_atomic, uni, 1,10000,100,1.577144e-02
histo_atomic, uni, 1,100,10000,1.570145e-02
histo_atomic, pat1, 1, 1000,1000,1.561370e-02
histo_atomic, pat1, 1,10000,100,1.568340e-02
histo_atomic, pat1, 1,100,10000,1.069279e-02
histo_atomic, pat2, 1, 1000,1000,1.569643e-02
histo_atomic, pat2, 1,10000,100,1.567415e-02
histo_atomic, pat2, 1,100,10000,1.575025e-02
histo_atomic, random, 1, 1000,1000,1.427381e-02
histo_atomic, random, 1,10000,100,1.487943e-02
histo_atomic, random, 1,100,10000,1.403448e-02
histo_atomic, areas, 2, 1000,1000,2.803306e-02
histo_atomic, areas, 2,10000,100,2.452248e-02
histo_atomic, areas, 2,100,10000,2.835968e-02
histo_atomic, plasma, 2, 1000,1000,1.442692e-02
histo_atomic, plasma, 2,10000,100,2.372085e-02
histo_atomic, plasma, 2,100,10000,1.071808e-02
histo_atomic, gradient, 2, 1000,1000,8.476863e-03
histo_atomic, gradient, 2,10000,100,8.112130e-03
histo_atomic, gradient, 2,100,10000,3.847170e-02
histo_atomic, uni, 2, 1000,1000,2.750566e-02
histo_atomic, uni, 2,10000,100,3.067883e-02
histo_atomic, uni, 2,100,10000,2.830741e-02
histo_atomic, pat1, 2, 1000,1000,2.968316e-02
histo_atomic, pat1, 2,10000,100,2.501674e-02
histo_atomic, pat1, 2,100,10000,2.656472e-02
histo_atomic, pat2, 2, 1000,1000,3.060325e-02
histo_atomic, pat2, 2,10000,100,2.241610e-02
histo_atomic, pat2, 2,100,10000,2.821239e-02
histo_atomic, random, 2, 1000,1000,4.473269e-02
histo_atomic, random, 2,10000,100,3.782420e-02
histo_atomic, random, 2,100,10000,4.548320e-02
histo_atomic, areas, 4, 1000,1000,2.255329e-02
histo_atomic, areas, 4,10000,100,2.174168e-02
histo_atomic, areas, 4,100,10000,2.345200e-02
histo_atomic, plasma, 4, 1000,1000,1.385835e-02
histo_atomic, plasma, 4,10000,100,1.824985e-02
histo_atomic, plasma, 4,100,10000,1.268797e-02
histo_atomic, gradient, 4, 1000,1000,1.012859e-02
histo_atomic, gradient, 4,10000,100,4.106962e-03
histo_atomic, gradient, 4,100,10000,2.433852e-02
histo_atomic, uni, 4, 1000,1000,3.914352e-02
histo_atomic, uni, 4,10000,100,3.929830e-02
histo_atomic, uni, 4,100,10000,3.855273e-02
histo_atomic, pat1, 4, 1000,1000,3.816800e-02
histo_atomic, pat1, 4,10000,100,3.320883e-02
histo_atomic, pat1, 4,100,10000,3.220312e-02
histo_atomic, pat2, 4, 1000,1000,3.867096e-02
histo_atomic, pat2, 4,10000,100,3.074249e-02
histo_atomic, pat2, 4,100,10000,3.548613e-02
histo_atomic, random, 4, 1000,1000,3.604148e-02
histo_atomic, random, 4,10000,100,3.695493e-02
histo_atomic, random, 4,100,10000,3.606029e-02
histo_atomic, areas, 8, 1000,1000,1.952353e-02
histo_atomic, areas, 8,10000,100,1.907974e-02
histo_atomic, areas, 8,100,10000,1.980018e-02
histo_atomic, plasma, 8, 1000,1000,1.211946e-02
histo_atomic, plasma, 8,10000,100,1.602950e-02
histo_atomic, plasma, 8,100,10000,1.161419e-02
histo_atomic, gradient, 8, 1000,1000,9.300082e-03
histo_atomic, gradient, 8,10000,100,2.725105e-03
histo_atomic, gradient, 8,100,10000,2.492105e-02
histo_atomic, uni, 8, 1000,1000,4.364166e-02
histo_atomic, uni, 8,10000,100,4.379819e-02
histo_atomic, uni, 8,100,10000,4.095110e-02
histo_atomic, pat1, 8, 1000,1000,3.979562e-02
histo_atomic, pat1, 8,10000,100,3.578825e-02
histo_atomic, pat1, 8,100,10000,3.650424e-02
histo_atomic, pat2, 8, 1000,1000,3.923278e-02
histo_atomic, pat2, 8,10000,100,3.440418e-02
histo_atomic, pat2, 8,100,10000,3.767561e-02
histo_atomic, random, 8, 1000,1000,2.816827e-02
histo_atomic, random, 8,10000,100,2.874190e-02
histo_atomic, random, 8,100,10000,2.860246e-02
histo_atomic, areas, 16, 1000,1000,1.619022e-02
histo_atomic, areas, 16,10000,100,1.728345e-02
histo_atomic, areas, 16,100,10000,1.804879e-02
histo_atomic, plasma, 16, 1000,1000,9.812649e-03
histo_atomic, plasma, 16,10000,100,1.450868e-02
histo_atomic, plasma, 16,100,10000,1.100453e-02
histo_atomic, gradient, 16, 1000,1000,8.478002e-03
histo_atomic, gradient, 16,10000,100,6.262292e-03
histo_atomic, gradient, 16,100,10000,2.247399e-02
histo_atomic, uni, 16, 1000,1000,3.730326e-02
histo_atomic, uni, 16,10000,100,4.313062e-02
histo_atomic, uni, 16,100,10000,4.117877e-02
histo_atomic, pat1, 16, 1000,1000,4.027055e-02
histo_atomic, pat1, 16,10000,100,3.661343e-02
histo_atomic, pat1, 16,100,10000,3.420043e-02
histo_atomic, pat2, 16, 1000,1000,4.146259e-02
histo_atomic, pat2, 16,10000,100,3.406917e-02
histo_atomic, pat2, 16,100,10000,3.903791e-02
histo_atomic, random, 16, 1000,1000,2.548433e-02
histo_atomic, random, 16,10000,100,2.442872e-02
histo_atomic, random, 16,100,10000,2.572213e-02
histo_atomic, areas, 1, 3000,3000,1.061996e-01
histo_atomic, areas, 1,30000,300,1.023753e-01
histo_atomic, areas, 1,300,30000,1.023920e-01
histo_atomic, plasma, 1, 3000,3000,1.032490e-01
histo_atomic, plasma, 1,30000,300,1.059997e-01
histo_atomic, plasma, 1,300,30000,1.085574e-01
histo_atomic, gradient, 1, 3000,3000,1.044193e-01
histo_atomic, gradient, 1,30000,300,1.079898e-01
histo_atomic, gradient, 1,300,30000,1.080627e-01
histo_atomic, uni, 1, 3000,3000,1.073818e-01
histo_atomic, uni, 1,30000,300,1.047936e-01
histo_atomic, uni, 1,300,30000,1.078236e-01
histo_atomic, pat1, 1, 3000,3000,1.045114e-01
histo_atomic, pat1, 1,30000,300,1.046082e-01
histo_atomic, pat1, 1,300,30000,1.085737e-01
histo_atomic, pat2, 1, 3000,3000,1.077822e-01
histo_atomic, pat2, 1,30000,300,1.038411e-01
histo_atomic, pat2, 1,300,30000,1.079740e-01
histo_atomic, random, 1, 3000,3000,7.340020e-02
histo_atomic, random, 1,30000,300,1.007074e-01
histo_atomic, random, 1,300,30000,1.075748e-01
histo_atomic, areas, 2, 3000,3000,1.635549e-01
histo_atomic, areas, 2,30000,300,1.805304e-01
histo_atomic, areas, 2,300,30000,1.816346e-01
histo_atomic, plasma, 2, 3000,3000,9.656672e-02
histo_atomic, plasma, 2,30000,300,1.106525e-01
histo_atomic, plasma, 2,300,30000,6.135995e-02
histo_atomic, gradient, 2, 3000,3000,7.054598e-02
histo_atomic, gradient, 2,30000,300,6.185985e-02
histo_atomic, gradient, 2,300,30000,6.957326e-02
histo_atomic, uni, 2, 3000,3000,1.875490e-01
histo_atomic, uni, 2,30000,300,1.795440e-01
histo_atomic, uni, 2,300,30000,1.852530e-01
histo_atomic, pat1, 2, 3000,3000,1.782583e-01
histo_atomic, pat1, 2,30000,300,1.470262e-01
histo_atomic, pat1, 2,300,30000,1.617716e-01
histo_atomic, pat2, 2, 3000,3000,1.854236e-01
histo_atomic, pat2, 2,30000,300,1.383525e-01
histo_atomic, pat2, 2,300,30000,1.742486e-01
histo_atomic, random, 2, 3000,3000,2.686527e-01
histo_atomic, random, 2,30000,300,2.927168e-01
histo_atomic, random, 2,300,30000,3.083025e-01
histo_atomic, areas, 4, 3000,3000,1.577388e-01
histo_atomic, areas, 4,30000,300,1.538564e-01
histo_atomic, areas, 4,300,30000,1.567398e-01
histo_atomic, plasma, 4, 3000,3000,8.242319e-02
histo_atomic, plasma, 4,30000,300,9.794922e-02
histo_atomic, plasma, 4,300,30000,5.499446e-02
histo_atomic, gradient, 4, 3000,3000,6.394675e-02
histo_atomic, gradient, 4,30000,300,3.365071e-02
histo_atomic, gradient, 4,300,30000,1.241103e-01
histo_atomic, uni, 4, 3000,3000,2.288457e-01
histo_atomic, uni, 4,30000,300,2.289100e-01
histo_atomic, uni, 4,300,30000,2.229283e-01
histo_atomic, pat1, 4, 3000,3000,2.113351e-01
histo_atomic, pat1, 4,30000,300,2.063657e-01
histo_atomic, pat1, 4,300,30000,1.997217e-01
histo_atomic, pat2, 4, 3000,3000,2.270405e-01
histo_atomic, pat2, 4,30000,300,1.832399e-01
histo_atomic, pat2, 4,300,30000,2.071260e-01
histo_atomic, random, 4, 3000,3000,2.296187e-01
histo_atomic, random, 4,30000,300,2.360076e-01
histo_atomic, random, 4,300,30000,2.341504e-01
histo_atomic, areas, 8, 3000,3000,1.469211e-01
histo_atomic, areas, 8,30000,300,1.507354e-01
histo_atomic, areas, 8,300,30000,1.385845e-01
histo_atomic, plasma, 8, 3000,3000,7.482775e-02
histo_atomic, plasma, 8,30000,300,9.008329e-02
histo_atomic, plasma, 8,300,30000,5.472782e-02
histo_atomic, gradient, 8, 3000,3000,6.449797e-02
histo_atomic, gradient, 8,30000,300,1.774305e-02
histo_atomic, gradient, 8,300,30000,1.444980e-01
histo_atomic, uni, 8, 3000,3000,2.350711e-01
histo_atomic, uni, 8,30000,300,2.327260e-01
histo_atomic, uni, 8,300,30000,2.347060e-01
histo_atomic, pat1, 8, 3000,3000,2.193522e-01
histo_atomic, pat1, 8,30000,300,1.980557e-01
histo_atomic, pat1, 8,300,30000,2.008078e-01
histo_atomic, pat2, 8, 3000,3000,2.280927e-01
histo_atomic, pat2, 8,30000,300,1.954392e-01
histo_atomic, pat2, 8,300,30000,2.127068e-01
histo_atomic, random, 8, 3000,3000,1.898072e-01
histo_atomic, random, 8,30000,300,1.994376e-01
histo_atomic, random, 8,300,30000,1.960081e-01
histo_atomic, areas, 16, 3000,3000,1.311840e-01
histo_atomic, areas, 16,30000,300,1.457606e-01
histo_atomic, areas, 16,300,30000,1.262040e-01
histo_atomic, plasma, 16, 3000,3000,6.562556e-02
histo_atomic, plasma, 16,30000,300,7.376506e-02
histo_atomic, plasma, 16,300,30000,5.160622e-02
histo_atomic, gradient, 16, 3000,3000,6.278064e-02
histo_atomic, gradient, 16,30000,300,4.844247e-02
histo_atomic, gradient, 16,300,30000,1.433802e-01
histo_atomic, uni, 16, 3000,3000,2.418851e-01
histo_atomic, uni, 16,30000,300,2.422771e-01
histo_atomic, uni, 16,300,30000,2.397823e-01
histo_atomic, pat1, 16, 3000,3000,2.252163e-01
histo_atomic, pat1, 16,30000,300,2.166637e-01
histo_atomic, pat1, 16,300,30000,2.073450e-01
histo_atomic, pat2, 16, 3000,3000,2.371999e-01
histo_atomic, pat2, 16,30000,300,1.972266e-01
histo_atomic, pat2, 16,300,30000,2.183652e-01
histo_atomic, random, 16, 3000,3000,1.783295e-01
histo_atomic, random, 16,30000,300,1.755788e-01
histo_atomic, random, 16,300,30000,1.729249e-01
histo_atomic, areas, 1, 5000,5000,2.551654e-01
histo_atomic, areas, 1,50000,500,2.247232e-01
histo_atomic, areas, 1,500,50000,2.285503e-01
histo_atomic, plasma, 1, 5000,5000,2.538963e-01
histo_atomic, plasma, 1,50000,500,2.418969e-01
histo_atomic, plasma, 1,500,50000,2.270187e-01
histo_atomic, gradient, 1, 5000,5000,2.609297e-01
histo_atomic, gradient, 1,50000,500,2.619151e-01
histo_atomic, gradient, 1,500,50000,2.577825e-01
histo_atomic, uni, 1, 5000,5000,2.538860e-01
histo_atomic, uni, 1,50000,500,2.333491e-01
histo_atomic, uni, 1,500,50000,2.630133e-01
histo_atomic, pat1, 1, 5000,5000,2.572112e-01
histo_atomic, pat1, 1,50000,500,2.383415e-01
histo_atomic, pat1, 1,500,50000,2.549950e-01
histo_atomic, pat2, 1, 5000,5000,2.376160e-01
histo_atomic, pat2, 1,50000,500,2.374475e-01
histo_atomic, pat2, 1,500,50000,2.460024e-01
histo_atomic, random, 1, 5000,5000,2.045279e-01
histo_atomic, random, 1,50000,500,2.281645e-01
histo_atomic, random, 1,500,50000,2.284848e-01
histo_atomic, areas, 2, 5000,5000,4.212927e-01
histo_atomic, areas, 2,50000,500,4.787870e-01
histo_atomic, areas, 2,500,50000,4.649884e-01
