version,pattern,thread,n_rows,n_cols,time_elapsed
histo_seq, areas, 16, 1000,1000,9.657360
histo_seq, areas, 16,10000,100,9.372670
histo_seq, areas, 16,100,10000,1.062622
histo_seq, plasma, 16, 1000,1000,1.701718
histo_seq, plasma, 16,10000,100,8.150130
histo_seq, plasma, 16,100,10000,1.467834
histo_seq, gradient, 16, 1000,1000,1.168278
histo_seq, gradient, 16,10000,100,1.908229
histo_seq, gradient, 16,100,10000,2.501609
histo_seq, uni, 16, 1000,1000,2.553030
histo_seq, uni, 16,10000,100,2.538213
histo_seq, uni, 16,100,10000,2.530416
histo_seq, pat1, 16, 1000,1000,2.421437
histo_seq, pat1, 16,10000,100,3.122298
histo_seq, pat1, 16,100,10000,2.464198
histo_seq, pat2, 16, 1000,1000,2.520396
histo_seq, pat2, 16,10000,100,2.634219
histo_seq, pat2, 16,100,10000,2.515162
histo_seq, random, 16, 1000,1000,1.149179
histo_seq, random, 16,10000,100,1.130951
histo_seq, random, 16,100,10000,1.226140
histo_seq, areas, 16, 3000,3000,8.699512
histo_seq, areas, 16,30000,300,7.557491
histo_seq, areas, 16,300,30000,7.496650
histo_seq, plasma, 16, 3000,3000,8.786418
histo_seq, plasma, 16,30000,300,7.184999
histo_seq, plasma, 16,300,30000,1.524736
histo_seq, gradient, 16, 3000,3000,1.472346
histo_seq, gradient, 16,30000,300,1.583215
histo_seq, gradient, 16,300,30000,1.734099
histo_seq, uni, 16, 3000,3000,1.786411
histo_seq, uni, 16,30000,300,2.327611
histo_seq, uni, 16,300,30000,2.324996
histo_seq, pat1, 16, 3000,3000,1.757107
histo_seq, pat1, 16,30000,300,1.673779
histo_seq, pat1, 16,300,30000,2.301126
histo_seq, pat2, 16, 3000,3000,1.841426
histo_seq, pat2, 16,30000,300,1.763648
histo_seq, pat2, 16,300,30000,1.755494
histo_seq, random, 16, 3000,3000,8.068167
histo_seq, random, 16,30000,300,8.058605
histo_seq, random, 16,300,30000,8.110664
histo_seq, areas, 16, 5000,5000,2.132773
histo_seq, areas, 16,50000,500,2.122393
histo_seq, areas, 16,500,50000,2.111421
histo_seq, plasma, 16, 5000,5000,2.676058
histo_seq, plasma, 16,50000,500,2.118737
histo_seq, plasma, 16,500,50000,3.214015
histo_seq, gradient, 16, 5000,5000,3.452253
histo_seq, gradient, 16,50000,500,4.626682
histo_seq, gradient, 16,500,50000,4.867739
histo_seq, uni, 16, 5000,5000,4.941344
histo_seq, uni, 16,50000,500,
histo_seq, uni, 16,500,50000,4.938738
histo_seq, pat1, 16, 5000,5000,
histo_seq, pat1, 16,50000,500,4.705478
histo_seq, pat1, 16,500,50000,4.906393
histo_seq, pat2, 16, 5000,5000,
histo_seq, pat2, 16,50000,500,4.915599
histo_seq, pat2, 16,500,50000,4.888182
histo_seq, random, 16, 5000,5000,2.242055
histo_seq, random, 16,50000,500,2.249796
histo_seq, random, 16,500,50000,2.247660
histo_seq, areas, 16, 1000,1000,9.579550
histo_seq, areas, 16,10000,100,9.722440
histo_seq, areas, 16,100,10000,1.057654
histo_seq, plasma, 16, 1000,1000,1.062104
histo_seq, plasma, 16,10000,100,1.020284
histo_seq, plasma, 16,100,10000,1.479886
histo_seq, gradient, 16, 1000,1000,1.128078
histo_seq, gradient, 16,10000,100,1.880532
histo_seq, gradient, 16,100,10000,2.502771
histo_seq, uni, 16, 1000,1000,2.522425
histo_seq, uni, 16,10000,100,2.535654
histo_seq, uni, 16,100,10000,2.535090
histo_seq, pat1, 16, 1000,1000,2.439357
histo_seq, pat1, 16,10000,100,2.301296
histo_seq, pat1, 16,100,10000,2.464472
histo_seq, pat2, 16, 1000,1000,2.499346
histo_seq, pat2, 16,10000,100,2.523985
histo_seq, pat2, 16,100,10000,2.514714
histo_seq, random, 16, 1000,1000,1.494952
histo_seq, random, 16,10000,100,1.150403
histo_seq, random, 16,100,10000,1.135110
histo_seq, areas, 16, 3000,3000,9.790772
histo_seq, areas, 16,30000,300,7.382841
histo_seq, areas, 16,300,30000,7.589831
histo_seq, plasma, 16, 3000,3000,9.658513
histo_seq, plasma, 16,30000,300,8.802319
histo_seq, plasma, 16,300,30000,1.187704
histo_seq, gradient, 16, 3000,3000,1.127893
histo_seq, gradient, 16,30000,300,1.581824
histo_seq, gradient, 16,300,30000,1.747984
histo_seq, uni, 16, 3000,3000,1.772434
histo_seq, uni, 16,30000,300,1.767494
histo_seq, uni, 16,300,30000,1.789382
histo_seq, pat1, 16, 3000,3000,2.298358
histo_seq, pat1, 16,30000,300,1.693175
histo_seq, pat1, 16,300,30000,1.734044
histo_seq, pat2, 16, 3000,3000,1.758599
histo_seq, pat2, 16,30000,300,1.761224
