n_nums,buffersize,runtime
10,1,1.140472
10,2,1.270933
10,3,1.069891
10,4,1.328420
10,5,1.109159
10,6,1.124299
10,7,1.199145
10,8,1.189694
10,9,1.140238
10,10,1.109314
10,12,1.101984
10,14,1.259821
10,16,1.116733
10,18,1.257965
10,20,1.202367
10,25,1.268779
10,30,1.160476
10,35,1.230879
10,40,1.278691
10,45,1.142418
10,50,1.195790
10,100,1.137309
10,200,1.139820
10,300,1.179010
10,400,1.152423
10,500,1.208193
10,600,1.170389
10,700,1.151133
10,800,1.184999
10,900,1.254501
10,1000,1.197716
50,1,3.614097
50,2,3.637182
50,3,3.869338
50,4,3.730766
50,5,3.765335
50,6,3.854947
50,7,3.658702
50,8,3.955251
50,9,3.647554
50,10,3.801793
50,12,3.973716
50,14,3.839784
50,16,3.865026
50,18,3.841422
50,20,4.033323
50,25,3.871665
50,30,3.788305
50,35,3.656539
50,40,3.535079
50,45,3.780040
50,50,3.987692
50,100,3.713056
50,200,3.834028
50,300,3.782298
50,400,3.830376
50,500,3.798156
50,600,3.602752
50,700,3.914765
50,800,3.714892
50,900,3.684190
50,1000,3.737224
100,1,7.306444
100,2,7.483191
100,3,7.443573
100,4,7.514227
100,5,7.651287
100,6,7.762770
100,7,7.774185
100,8,7.622007
100,9,7.997926
100,10,7.180535
100,12,7.138330
100,14,7.613345
100,16,7.472441
100,18,7.169663
100,20,7.388664
100,25,7.571570
100,30,7.433836
100,35,7.129954
100,40,7.163053
100,45,7.451221
100,50,7.223309
100,100,7.120787
100,200,7.403708
100,300,7.714550
100,400,7.132386
100,500,7.702553
100,600,7.378904
100,700,7.628264
100,800,7.855244
100,900,7.391792
100,1000,7.623694
500,1,3.986286
500,2,3.914638
500,3,3.714856
500,4,3.894012
500,5,3.950437
500,6,3.871886
500,7,3.965712
500,8,3.869593
500,9,3.869796
500,10,3.960258
500,12,4.014076
500,14,3.879459
500,16,3.966943
500,18,3.852607
500,20,3.839658
500,25,3.734700
500,30,3.780501
500,35,3.921847
500,40,3.823485
500,45,3.875825
500,50,3.909893
500,100,3.919591
500,200,3.957030
500,300,3.980192
500,400,3.938344
500,500,3.896740
500,600,3.914446
500,700,3.810557
500,800,3.896569
500,900,3.799689
500,1000,3.904243
1000,1,9.541450
1000,2,8.625604
1000,3,1.145461
1000,4,1.095927
1000,5,9.848807
1000,6,8.580095
1000,7,1.129093
1000,8,1.072312
1000,9,1.035215
1000,10,1.130108
1000,12,9.812117
1000,14,1.029947
1000,16,1.122044
1000,18,9.147511
1000,20,1.010781
1000,25,1.120637
1000,30,9.378570
1000,35,1.085287
1000,40,1.135671
1000,45,1.112861
1000,50,9.444743
1000,100,9.753441
1000,200,1.006256
1000,300,9.807340
1000,400,9.518608
1000,500,9.408965
1000,600,8.261526
1000,700,8.638900
1000,800,1.067484
1000,900,8.560161
1000,1000,9.881404
2000,1,3.284102
2000,2,3.588506
2000,3,3.406799
2000,4,3.380792
2000,5,3.310391
2000,6,3.436175
2000,7,3.406886
2000,8,3.500307
2000,9,3.529947
2000,10,3.280410
2000,12,3.233173
2000,14,3.338127
2000,16,3.427898
2000,18,3.291048
2000,20,2.830007
2000,25,3.305698
2000,30,3.348286
2000,35,3.616772
2000,40,2.888299
2000,45,3.217797
2000,50,3.186061
2000,100,3.655668
2000,200,2.936515
2000,300,3.245884
2000,400,3.167832
2000,500,3.218665
2000,600,3.273117
2000,700,3.008875
2000,800,3.347509
2000,900,3.301778
2000,1000,3.593263
3000,1,6.138558
3000,2,5.435117
3000,3,6.382501
3000,4,5.002129
3000,5,5.489264
3000,6,6.148005
3000,7,5.265889
3000,8,7.153763
3000,9,5.596292
3000,10,5.057650
3000,12,5.324572
3000,14,5.328528
3000,16,4.816188
3000,18,6.220094
3000,20,6.341289
3000,25,6.099546
3000,30,6.188311
3000,35,5.955594
3000,40,6.859556
3000,45,5.670447
3000,50,6.635329
3000,100,5.838553
3000,200,5.763472
3000,300,6.407011
3000,400,5.666589
3000,500,6.038761
3000,600,6.456499
3000,700,5.124149
3000,800,6.308800
3000,900,5.729591
3000,1000,5.154283
4000,1,7.523559
4000,2,7.790683
4000,3,8.555456
4000,4,8.565116
4000,5,1.000100
4000,6,8.244307
4000,7,9.526995
4000,8,7.792009
4000,9,8.478631
4000,10,9.508867
4000,12,8.134429
4000,14,8.146067
4000,16,8.976953
4000,18,9.321348
4000,20,9.320329
4000,25,8.610122
4000,30,8.052680
4000,35,8.045144
4000,40,8.154696
4000,45,8.611990
4000,50,8.339634
4000,100,8.328368
4000,200,8.568697
4000,300,7.369959
4000,400,9.001228
4000,500,8.710562
4000,600,7.990028
4000,700,7.642079
4000,800,7.826608
4000,900,9.484072
4000,1000,7.552134
