n_nums,buffersize,runtime
10,1,1.164828
10,2,1.103878
10,3,1.180245
10,4,1.163807
10,5,1.192081
10,6,1.116792
10,7,1.049245
10,8,1.193475
10,9,1.172630
10,10,1.151183
10,12,1.145675
10,14,1.078501
10,16,1.250914
10,18,1.067091
10,20,1.090180
10,25,1.147856
10,30,1.144140
10,35,1.169525
10,40,1.115340
10,45,1.175400
10,50,1.170414
10,100,1.201164
10,200,1.102081
10,300,1.169579
10,400,1.119201
10,500,1.168197
10,600,1.154317
10,700,1.206115
10,800,1.167990
10,900,1.183045
10,1000,1.166045
50,1,4.319402
50,2,4.403854
50,3,4.168927
50,4,4.487796
50,5,4.317286
50,6,4.306184
50,7,4.500315
50,8,4.289733
50,9,4.219693
50,10,4.418986
50,12,4.134501
50,14,4.076555
50,16,4.205458
50,18,4.259435
50,20,4.464427
50,25,4.210454
50,30,4.431561
50,35,4.436396
50,40,3.976420
50,45,4.577299
50,50,4.152246
50,100,4.126467
50,200,4.554281
50,300,4.082820
50,400,4.376765
50,500,4.338225
50,600,4.473867
50,700,4.660705
50,800,4.455143
50,900,4.354160
50,1000,4.572232
100,1,8.490345
100,2,9.061967
100,3,8.661112
100,4,9.106895
100,5,8.602752
100,6,9.170623
100,7,8.788917
100,8,8.685880
100,9,9.039349
100,10,8.648670
100,12,9.141833
100,14,8.785736
100,16,8.602721
100,18,9.016028
100,20,8.700063
100,25,8.858055
100,30,8.737388
100,35,9.103903
100,40,9.128108
100,45,8.916870
100,50,8.272532
100,100,8.971558
100,200,9.056102
100,300,8.813486
100,400,8.931044
100,500,8.786986
100,600,8.640593
100,700,8.986885
100,800,8.552002
100,900,8.470958
100,1000,8.801404
500,1,4.438739
500,2,4.290220
500,3,4.390988
500,4,4.241000
500,5,4.454233
500,6,4.386621
500,7,4.330267
500,8,4.373533
500,9,4.259706
500,10,4.285942
500,12,4.333016
500,14,4.219170
500,16,4.391745
500,18,4.321540
500,20,4.327677
500,25,4.423187
500,30,4.384497
500,35,4.338608
500,40,4.249445
500,45,4.283074
500,50,4.351559
500,100,4.270448
500,200,4.229973
500,300,4.301704
500,400,4.398367
500,500,4.200963
500,600,4.135653
500,700,4.260496
500,800,4.353440
500,900,4.327197
500,1000,4.360324
1000,1,1.004077
1000,2,1.094888
1000,3,1.029980
1000,4,1.251012
1000,5,1.162065
1000,6,1.172023
1000,7,9.393322
1000,8,1.142645
1000,9,9.739550
1000,10,1.235473
1000,12,1.130033
1000,14,1.068255
1000,16,1.164654
1000,18,1.119653
1000,20,1.070013
1000,25,1.168195
1000,30,1.140157
1000,35,1.150433
1000,40,1.152006
1000,45,1.033159
1000,50,1.102097
1000,100,1.168383
1000,200,1.100613
1000,300,1.004828
1000,400,1.202135
1000,500,1.173742
1000,600,1.107550
1000,700,1.123344
1000,800,1.243797
1000,900,1.208546
1000,1000,1.264800
2000,1,3.377832
2000,2,3.384532
2000,3,3.658954
2000,4,3.606786
2000,5,3.660093
2000,6,3.417752
2000,7,3.328388
2000,8,3.496452
2000,9,3.574219
2000,10,3.265689
2000,12,3.696318
2000,14,3.420449
2000,16,3.797198
2000,18,3.259696
2000,20,3.921980
2000,25,3.342585
2000,30,3.559018
2000,35,3.383500
2000,40,3.685386
2000,45,3.496956
2000,50,3.531119
2000,100,3.369918
2000,200,3.243154
2000,300,3.225418
2000,400,3.266340
2000,500,3.274704
2000,600,3.664969
2000,700,3.693514
2000,800,3.609530
2000,900,3.291667
2000,1000,3.376379
3000,1,5.731594
3000,2,6.569137
3000,3,6.071581
3000,4,6.316515
3000,5,5.169419
3000,6,6.024158
3000,7,6.452375
3000,8,6.020300
3000,9,6.115017
3000,10,6.094074
3000,12,6.537083
3000,14,5.287957
3000,16,5.837480
3000,18,6.751752
3000,20,7.976871
