n_nums,buffersize,runtime
50,10,4.346402
50,100,4.633141
100,10,9.050768
100,100,8.999343
50,10,4.428221
50,100,4.551589
100,10,9.002923
100,100,8.694964
150,10,1.334302
150,100,1.296856
200,10,1.729068
200,100,1.791410
250,10,2.357245
250,100,2.216375
300,10,2.559528
300,100,2.616910
350,10,3.131593
350,100,3.037858
400,10,3.495626
400,100,3.478535
450,10,3.884251
450,100,3.725635
500,10,4.133246
500,100,4.372917
550,10,4.696223
550,100,4.888611
600,10,5.112156
600,100,5.384718
650,10,5.797459
650,100,5.326968
700,10,6.119309
700,100,6.296006
750,10,6.707002
750,100,6.480172
800,10,7.123678
800,100,6.891827
850,10,7.477961
850,100,7.382930
900,10,9.054134
900,100,8.278783
950,10,9.348046
950,100,8.690122
1000,10,1.192526
1000,100,1.129042
1050,10,1.281045
1050,100,1.317495
1100,10,1.390799
1100,100,1.457225
1150,10,1.454240
1150,100,1.451191
1200,10,1.783828
1200,100,1.604731
1250,10,1.854442
1250,100,1.774473
1300,10,1.907331
1300,100,1.865737
1350,10,2.050993
1350,100,2.022622
1400,10,1.930987
1400,100,2.146880
1450,10,2.135069
1450,100,2.167922
1500,10,2.301598
1500,100,2.449354
1550,10,2.390808
1550,100,2.384124
1600,10,2.490553
1600,100,2.409129
1650,10,2.644858
1650,100,3.165583
1700,10,2.789196
1700,100,2.765975
1750,10,2.873105
1750,100,3.011109
1800,10,2.924480
1800,100,3.208700
1850,10,3.137097
1850,100,2.836774
1900,10,3.203153
1900,100,3.377269
1950,10,3.349118
1950,100,3.353169
2000,10,3.197691
2000,100,3.243570
2050,10,4.126700
2050,100,3.696339
2100,10,3.380527
2100,100,3.348817
2150,10,3.959869
2150,100,4.049051
2200,10,3.648067
2200,100,4.007780
2250,10,4.418260
2250,100,4.373889
2300,10,4.476736
2300,100,4.688459
2350,10,4.395867
2350,100,4.511824
2400,10,4.049192
2400,100,4.462196
2450,10,4.182426
2450,100,4.686797
2500,10,4.893759
2500,100,4.527708
2550,10,4.605807
2550,100,4.806020
2600,10,4.864686
2600,100,5.091154
2650,10,5.299196
2650,100,5.119782
2700,10,5.185671
2700,100,4.878156
2750,10,5.554716
2750,100,5.135607
2800,10,5.086301
2800,100,6.299124
2850,10,5.310799
2850,100,4.950388
2900,10,6.286274
2900,100,5.923695
2950,10,5.617303
2950,100,5.395178
3000,10,6.106510
3000,100,5.970054
3050,10,7.163768
3050,100,6.282644
3100,10,5.718081
3100,100,6.572111
3150,10,6.807358
3150,100,7.166683
3200,10,7.020318
3200,100,7.052983
3250,10,6.641184
3250,100,6.609335
3300,10,7.229685
3300,100,6.513126
3350,10,7.140260
3350,100,6.489895
3400,10,6.295649
3400,100,8.460112
3450,10,6.407663
3450,100,6.407940
3500,10,8.012777
3500,100,7.891175
3550,10,8.716662
3550,100,8.372168
3600,10,7.872775
3600,100,7.834331
3650,10,8.317474
3650,100,7.433662
3700,10,7.597981
3700,100,9.128097
3750,10,7.687313
3750,100,7.957464
3800,10,8.507138
3800,100,8.136417
3850,10,8.888658
3850,100,8.754631
3900,10,8.337106
3900,100,8.601831
3950,10,8.639650
3950,100,1.020261
4000,10,9.718355
4000,100,8.523068
4050,10,7.573818
4050,100,8.399788
4100,10,
