n_nums,buffersize,runtime
1,1000,5.885680
1,1000,6.168800
1,1000,6.288690
1,1000,5.825660
1,1000,6.245060
1,1000,5.999390
1,1000,5.948570
1,1000,6.167890
1,1000,5.819950
1,1000,6.069310
1,1000,6.279830
1,1000,5.663910
1,1000,6.202640
1,1000,5.997990
1,1000,6.067640
1,1000,6.034600
1,1000,6.558410
1,1000,5.993950
1,1000,6.662540
1,1000,5.894150
101,1000,7.291417
101,1000,7.932331
101,1000,7.968605
101,1000,7.726887
101,1000,7.765130
101,1000,7.464987
101,1000,6.894466
101,1000,7.616554
101,1000,7.245333
101,1000,7.213940
101,1000,7.458035
101,1000,7.717168
101,1000,7.793380
101,1000,
101,1000,7.642787
101,1000,7.305137
101,1000,7.624693
101,1000,7.337759
101,1000,7.668468
101,1000,7.396213
201,1000,1.496891
201,1000,1.452707
201,1000,1.499833
201,1000,1.496596
201,1000,1.577589
201,1000,1.548681
201,1000,1.516060
201,1000,1.486237
201,1000,1.437012
201,1000,1.502860
201,1000,1.479211
201,1000,1.560729
201,1000,1.489325
201,1000,1.530357
201,1000,1.498169
201,1000,1.465468
201,1000,1.474611
201,1000,1.473202
201,1000,1.523062
201,1000,1.488963
301,1000,2.330647
301,1000,2.310117
301,1000,2.330118
301,1000,2.313259
301,1000,2.255010
301,1000,2.344902
301,1000,2.329482
301,1000,2.372302
301,1000,2.349637
301,1000,2.283516
301,1000,2.300396
301,1000,2.327654
301,1000,2.314746
301,1000,2.229101
301,1000,2.319455
301,1000,2.459096
301,1000,2.261280
301,1000,2.319326
301,1000,2.285633
301,1000,2.322784
401,1000,3.115082
401,1000,3.108880
401,1000,3.166105
401,1000,3.114716
401,1000,3.098514
401,1000,2.956811
401,1000,3.149653
401,1000,3.150124
401,1000,3.140998
401,1000,3.008990
401,1000,3.002737
401,1000,3.146300
401,1000,3.087322
401,1000,3.181644
401,1000,3.223517
401,1000,3.110825
401,1000,3.186692
401,1000,3.086992
401,1000,3.138668
401,1000,3.131260
501,1000,4.004142
501,1000,3.889006
501,1000,3.995396
501,1000,3.947594
501,1000,3.968921
501,1000,3.991483
501,1000,3.740907
501,1000,3.950311
501,1000,3.983975
501,1000,4.082207
501,1000,3.984667
501,1000,4.061549
501,1000,3.927551
501,1000,3.890230
501,1000,3.888823
501,1000,3.735999
501,1000,3.873591
501,1000,3.907128
501,1000,3.988156
501,1000,3.953270
601,1000,4.768613
601,1000,4.563599
601,1000,4.668383
601,1000,4.839780
601,1000,4.779929
601,1000,4.749968
601,1000,4.781170
601,1000,4.687610
601,1000,4.713391
601,1000,4.788902
601,1000,4.698415
601,1000,4.805692
601,1000,4.877247
601,1000,4.597435
601,1000,4.787679
601,1000,4.849555
601,1000,4.635025
601,1000,4.524390
601,1000,4.713971
601,1000,4.814775
701,1000,5.557591
701,1000,5.552455
701,1000,5.486584
701,1000,5.689862
701,1000,5.560071
701,1000,5.666931
701,1000,5.630295
701,1000,5.772462
701,1000,5.563227
701,1000,5.521470
701,1000,5.789788
701,1000,5.557536
701,1000,5.772287
701,1000,5.524633
701,1000,5.559058
701,1000,5.633943
701,1000,5.663475
701,1000,5.542678
701,1000,5.723887
701,1000,5.631632
801,1000,6.378421
801,1000,6.561429
801,1000,7.001958
801,1000,6.445714
801,1000,6.527836
801,1000,6.600596
801,1000,6.599383
801,1000,6.374937
801,1000,6.467068
801,1000,6.605656
801,1000,6.483900
801,1000,6.464471
801,1000,6.580457
801,1000,6.577748
801,1000,6.451638
801,1000,6.521285
801,1000,6.416088
801,1000,6.571103
801,1000,6.679118
801,1000,6.563321
901,1000,7.416360
901,1000,7.341277
901,1000,7.320638
901,1000,7.613359
901,1000,7.553538
901,1000,7.356365
901,1000,7.523660
901,1000,7.432355
901,1000,7.293175
901,1000,7.605945
901,1000,7.451318
901,1000,7.430179
901,1000,7.430595
901,1000,7.447969
901,1000,7.318822
901,1000,7.304661
901,1000,7.598226
901,1000,7.228409
901,1000,7.481932
901,1000,7.562363
1001,1000,8.747230
1001,1000,8.532252
1001,1000,9.620223
1001,1000,9.497442
1001,1000,1.001095
1001,1000,8.694286
1001,1000,8.606258
1001,1000,1.094181
1001,1000,9.935124
1001,1000,1.019667
1001,1000,1.005900
1001,1000,9.200960
1001,1000,1.000612
1001,1000,8.833636
1001,1000,1.157437
1001,1000,9.866395
1001,1000,1.063244
1001,1000,1.009168
1001,1000,9.120317
1001,1000,9.160979
1101,1000,1.218991
1101,1000,1.316865
1101,1000,1.303378
1101,1000,1.241827
1101,1000,1.256901
1101,1000,1.251177
1101,1000,1.296334
1101,1000,1.312610
1101,1000,1.249179
1101,1000,1.075195
1101,1000,1.150922
1101,1000,1.199184
1101,1000,1.200832
1101,1000,1.396612
1101,1000,1.366000
1101,1000,1.344907
1101,1000,1.353209
1101,1000,1.441480
1101,1000,1.343488
1101,1000,1.280334
1201,1000,1.434119
1201,1000,1.633003
1201,1000,1.545078
1201,1000,1.488240
1201,1000,1.521801
1201,1000,1.475275
1201,1000,1.582728
1201,1000,1.514399
1201,1000,1.518087
1201,1000,1.510604
1201,1000,1.479246
1201,1000,1.490157
1201,1000,1.526045
1201,1000,1.470898
1201,1000,1.438812
1201,1000,1.511518
1201,1000,1.655038
1201,1000,1.627782
1201,1000,1.618642
1201,1000,1.530979
1301,1000,1.684455
1301,1000,1.738158
1301,1000,1.650100
1301,1000,1.849391
1301,1000,1.789431
1301,1000,1.690145
1301,1000,1.721948
1301,1000,1.740782
1301,1000,1.670463
1301,1000,1.817578
1301,1000,1.823266
1301,1000,1.658220
1301,1000,1.773066
1301,1000,1.706461
1301,1000,1.764216
1301,1000,1.678024
1301,1000,1.631106
1301,1000,1.781507
1301,1000,1.715481
1301,1000,1.670852
1401,1000,2.074784
1401,1000,1.942136
1401,1000,1.982024
1401,1000,2.080684
1401,1000,1.823366
1401,1000,1.918080
1401,1000,2.020993
1401,1000,1.960993
1401,1000,2.075116
1401,1000,1.908827
1401,1000,2.046274
1401,1000,1.971146
1401,1000,1.996906
1401,1000,2.124961
1401,1000,2.042381
1401,1000,1.923839
1401,1000,1.910562
1401,1000,2.105981
1401,1000,2.006053
1401,1000,2.030081
1501,1000,2.155641
1501,1000,2.185854
1501,1000,2.355504
1501,1000,2.217756
1501,1000,2.208415
1501,1000,2.194690
1501,1000,2.323261
1501,1000,2.373218
1501,1000,2.271747
