n_nums,buffersize,runtime
1,100,6.11674
1,100,4.93295
1,100,6.19296
1,100,6.20415
1,100,6.42331
1,100,5.83976
1,100,6.26232
1,100,6.1203
1,100,6.33464
1,100,5.93803
1,100,5.75718
1,100,5.75012
1,100,6.23445
1,100,6.23604
1,100,5.93538
1,100,6.07844
1,100,6.04923
1,100,5.9443
1,100,6.1659
1,100,6.5018
101,100,7.222313
101,100,7.976432
101,100,7.437288
101,100,7.597529
101,100,7.799967
101,100,7.570028
101,100,8.079716
101,100,7.865275
101,100,7.728862
101,100,7.47954
101,100,7.58344
101,100,7.429171
101,100,7.391527
101,100,7.265376
101,100,7.464632
101,100,7.759464
101,100,6.914712
101,100,7.37173
101,100,7.511266
101,100,7.462202
201,100,1.492026
201,100,1.495729
201,100,1.505351
201,100,1.482387
201,100,1.507952
201,100,1.51478
201,100,1.445967
201,100,1.514397
201,100,1.51302
201,100,1.529548
201,100,1.493776
201,100,1.493187
201,100,1.506895
201,100,1.525483
201,100,1.546484
201,100,1.517774
201,100,1.540056
201,100,1.494779
201,100,1.528225
201,100,1.456127
301,100,2.369475
301,100,2.38443
301,100,2.266584
301,100,2.342646
301,100,2.264291
301,100,2.347435
301,100,2.297728
301,100,2.333522
301,100,2.240881
301,100,2.282918
301,100,2.355934
301,100,2.380366
301,100,2.326884
301,100,2.231241
301,100,2.3339
301,100,2.29514
301,100,2.300182
301,100,2.337467
301,100,2.310703
301,100,2.364914
401,100,3.219097
401,100,3.084951
401,100,3.18569
401,100,3.19221
401,100,3.152254
401,100,3.113029
401,100,3.014637
401,100,3.133693
401,100,3.121413
401,100,2.906438
401,100,3.011602
401,100,3.111192
401,100,3.060378
401,100,3.073007
401,100,3.116904
401,100,3.105019
401,100,3.249653
401,100,3.1975
401,100,3.18563
401,100,3.182585
501,100,3.981591
501,100,4.086526
501,100,3.828927
501,100,3.99218
501,100,3.885305
501,100,3.98534
501,100,3.939365
501,100,3.876205
501,100,3.843205
501,100,3.940791
501,100,3.93593
501,100,4.037971
501,100,3.971674
501,100,3.982027
501,100,4.018596
501,100,3.860162
501,100,3.856802
501,100,3.823998
501,100,3.901243
501,100,3.9865
601,100,4.839494
601,100,4.871375
601,100,4.816024
601,100,4.757634
601,100,4.763024
601,100,4.710349
601,100,4.842335
601,100,4.565482
601,100,4.876557
601,100,4.938504
601,100,4.913583
601,100,4.709426
601,100,4.81729
601,100,4.879767
601,100,4.840784
601,100,4.795631
601,100,4.845668
601,100,4.81153
601,100,4.868055
601,100,4.675087
701,100,5.559896
701,100,5.62245
701,100,5.628516
701,100,5.745129
701,100,5.750232
701,100,5.437997
701,100,5.616081
701,100,5.651171
701,100,5.889637
701,100,5.530396
701,100,5.486153
701,100,5.730198
701,100,5.465268
701,100,5.555492
701,100,5.5157
701,100,5.51578
701,100,5.681043
701,100,5.718779
701,100,5.590194
701,100,5.771957
801,100,6.471986
801,100,6.467416
801,100,6.509474
801,100,6.77711
801,100,6.482889
801,100,6.513241
801,100,6.451952
801,100,6.569437
801,100,6.526555
801,100,6.594284
801,100,6.564015
801,100,6.352408
801,100,6.491783
801,100,6.37477
801,100,6.633929
801,100,6.373762
801,100,6.65193
801,100,6.553078
801,100,6.494815
801,100,6.588765
901,100,7.489679
901,100,7.315327
901,100,7.42051
901,100,7.346836
901,100,7.403913
901,100,7.504687
901,100,7.503445
901,100,7.357116
901,100,7.352569
901,100,7.574316
901,100,7.69572
901,100,7.838353
901,100,7.629402
901,100,7.558837
901,100,7.681078
901,100,7.545647
901,100,7.405727
901,100,7.42953
901,100,7.340284
901,100,7.482143
1001,100,8.777659
1001,100,9.06145
1001,100,1.036132
1001,100,8.787667
1001,100,8.65933
1001,100,1.035726
1001,100,8.942901
1001,100,1.070102
1001,100,8.571167
1001,100,8.950292
1001,100,1.046433
1001,100,9.025511
1001,100,9.812096
1001,100,1.118748
1001,100,8.588219
1001,100,1.003746
1001,100,8.564074
1001,100,9.711522
1001,100,9.109442
1001,100,9.632924
1101,100,1.153845
1101,100,1.332648
1101,100,1.354904
1101,100,1.007514
1101,100,1.220309
1101,100,1.33763
1101,100,1.32789
1101,100,1.180359
1101,100,1.298451
1101,100,1.247929
1101,100,1.297918
1101,100,1.208719
1101,100,1.278182
1101,100,1.291415
1101,100,1.308116
1101,100,1.270263
1101,100,1.306603
1101,100,1.283209
1101,100,1.286816
1101,100,1.065615
1201,100,1.59132
1201,100,1.400236
1201,100,1.527965
1201,100,1.488996
1201,100,1.623163
1201,100,1.598517
1201,100,1.549074
1201,100,1.488496
1201,100,1.59798
1201,100,1.496793
1201,100,1.508923
1201,100,1.541942
1201,100,1.491536
1201,100,1.535587
1201,100,1.472715
1201,100,1.454462
1201,100,1.490363
1201,100,1.504254
1201,100,1.584216
1201,100,1.419042
1301,100,1.848974
1301,100,1.808187
1301,100,1.749409
1301,100,1.831615
1301,100,1.705715
1301,100,1.762233
1301,100,1.58034
1301,100,1.65466
1301,100,1.794632
1301,100,1.772703
1301,100,1.763758
1301,100,1.671617
1301,100,1.710576
1301,100,1.785339
1301,100,1.76113
1301,100,1.824209
1301,100,1.781667
1301,100,1.74037
1301,100,1.748738
1301,100,1.707776
1401,100,2.002773
1401,100,1.865715
1401,100,1.955026
1401,100,2.039828
1401,100,2.011756
1401,100,1.921452
1401,100,2.004705
1401,100,2.093445
1401,100,1.943288
1401,100,2.132389
1401,100,1.959707
1401,100,1.914813
1401,100,1.951208
1401,100,1.907362
1401,100,1.874608
1401,100,1.927974
1401,100,1.893391
1401,100,2.009899
1401,100,1.883012
1401,100,2.09232
1501,100,2.169301
1501,100,2.029151
1501,100,2.219212
1501,100,2.309318
1501,100,2.108301
1501,100,2.18488
1501,100,2.236513
1501,100,2.170721
1501,100,2.015854
1501,100,2.217095
5801,100,1.200495
1501,100,2.219461
1501,100,2.339433
5801,100,1.369096
1501,100,2.154045
1501,100,2.387674
5801,100,1.41498
1501,100,2.235241
1501,100,2.210261
5801,100,1.361102
1501,100,2.280207
1501,100,2.129817
5801,100,1.443389
1501,100,1.978871
1501,100,2.14421
5801,100,1.430596
1601,100,2.318458
1601,100,2.357897
5801,100,1.577099
1601,100,2.45677
1601,100,2.246643
5801,100,1.305944
1601,100,2.311168
1601,100,2.337338
5801,100,1.375798
1601,100,2.424151
1601,100,2.500045
5801,100,1.330477
1601,100,2.446526
1601,100,2.225444
5801,100,1.437108
1601,100,2.478061
1601,100,2.464359
1601,100,2.472138
1601,100,2.414877
1601,100,2.290198
1601,100,2.649703
1601,100,2.167727
1601,100,2.490587
1601,100,2.39322
1601,100,2.559226
1701,100,2.749985
1701,100,2.81284
1701,100,2.233653
1701,100,2.639489
1701,100,2.552538
1701,100,2.712228
1701,100,2.541834
1701,100,2.809993
1701,100,2.638115
1701,100,2.628521
1701,100,2.835506
1701,100,2.752826
1701,100,2.267197
1701,100,3.032287
1701,100,2.537616
1701,100,2.7783
1701,100,2.772215
1701,100,2.753222
1701,100,2.635701
1701,100,2.612337
1801,100,2.7831
1801,100,3.080413
1801,100,2.772024
1801,100,2.880842
1801,100,2.796158
1801,100,2.885257
1801,100,2.764552
1801,100,3.025086
1801,100,3.167878
1801,100,3.160802
1801,100,2.951263
1801,100,2.97697
1801,100,2.846383
1801,100,2.898815
1801,100,2.774701
1801,100,2.79539
1801,100,3.061089
1801,100,3.174388
1801,100,2.607367
1801,100,3.129169
1901,100,2.921582
1901,100,2.972687
1901,100,3.071748
1901,100,2.979926
1901,100,2.607969
1901,100,3.135944
1901,100,3.236646
1901,100,3.194301
1901,100,3.049954
1901,100,3.142359
1901,100,2.984215
1901,100,3.122118
1901,100,2.995259
1901,100,3.165879
1901,100,3.160413
1901,100,3.189792
1901,100,3.31916
1901,100,3.2609
1901,100,2.994094
1901,100,2.976498
2001,100,3.280886
2001,100,3.426989
2001,100,3.210392
2001,100,3.428801
2001,100,3.524437
2001,100,3.393722
2001,100,3.155027
2001,100,3.142308
2001,100,3.410215
2001,100,3.299169
2001,100,3.208895
2001,100,3.374929
2001,100,3.302744
2001,100,3.170255
2001,100,3.372032
2001,100,3.126999
2001,100,3.25512
2001,100,3.319031
2001,100,3.050677
2001,100,3.509493
2101,100,3.85965
2101,100,3.790059
2101,100,3.389225
2101,100,3.657689
2101,100,3.651184
2101,100,3.346306
2101,100,3.351912
2101,100,3.161112
2101,100,3.285443
2101,100,3.685733
2101,100,3.452729
2101,100,3.150742
2101,100,3.335417
2101,100,3.758012
2101,100,3.347374
2101,100,3.525428
2101,100,3.633334
2101,100,3.644689
2101,100,3.543162
2101,100,3.852364
2201,100,3.440701
2201,100,3.74154
2201,100,3.33699
2201,100,3.617036
2201,100,3.919019
2201,100,3.991457
2201,100,3.901245
2201,100,4.115384
2201,100,3.726807
2201,100,3.742274
2201,100,4.047518
2201,100,4.193973
2201,100,3.475924
2201,100,4.317312
2201,100,3.955141
2201,100,3.72994
2201,100,4.064433
2201,100,3.50987
2201,100,4.013448
2201,100,3.863217
2301,100,4.086865
2301,100,4.047507
2301,100,4.454817
2301,100,3.873906
2301,100,4.427929
2301,100,3.884572
2301,100,4.214851
2301,100,3.963104
2301,100,3.271002
2301,100,3.977668
2301,100,3.596812
2301,100,4.026287
2301,100,3.914584
2301,100,3.854321
2301,100,4.183808
2301,100,3.770026
2301,100,3.511696
2301,100,4.170629
2301,100,4.189507
2301,100,3.750535
2401,100,4.03123
2401,100,4.241486
2401,100,4.171396
2401,100,3.696437
2401,100,4.618297
2401,100,3.901449
2401,100,4.215173
2401,100,4.28157
2401,100,4.152838
2401,100,4.646404
2401,100,4.478046
2401,100,4.348315
2401,100,4.411641
2401,100,4.596398
2401,100,4.66937
2401,100,3.870676
