version,pattern,n_rows,n_cols,time_elapsed
histogram_v1,random,56,56,0.000123874
histogram_v1,random,57,57,0.000113893
histogram_v1,random,120,120,0.000121647
histogram_v1,random,121,121,0.000153552
histogram_v1,random,184,184,0.000135486
histogram_v1,random,185,185,0.000156304
histogram_v1,random,248,248,0.000153082
histogram_v1,random,249,249,0.000192018
histogram_v1,random,312,312,0.000172257
histogram_v1,random,313,313,0.000171175
histogram_v1,random,376,376,0.000199405
histogram_v1,random,377,377,0.000206873
histogram_v1,random,440,440,0.000235399
histogram_v1,random,441,441,0.000239694
histogram_v1,random,504,504,0.000284712
histogram_v1,random,505,505,0.000262404
histogram_v1,random,568,568,0.000327194
histogram_v1,random,569,569,0.00053097
histogram_v1,random,632,632,0.000383404
histogram_v1,random,633,633,0.000624751
histogram_v1,random,696,696,0.00042333
histogram_v1,random,697,697,0.000725807
histogram_v1,random,760,760,0.000493811
histogram_v1,random,761,761,0.000875613
histogram_v1,random,824,824,0.000596387
histogram_v1,random,825,825,0.000578525
histogram_v1,random,888,888,0.000676247
histogram_v1,random,889,889,0.000667672
histogram_v1,random,952,952,0.000703822
histogram_v1,random,953,953,0.000774537
histogram_v1,random,1016,1016,0.000882969
histogram_v1,random,1017,1017,0.000872451
histogram_v1,random,1080,1080,0.00166028
histogram_v1,random,1081,1081,0.00171867
histogram_v1,random,1144,1144,0.00186493
histogram_v1,random,1145,1145,0.00179392
histogram_v1,random,1208,1208,0.00204103
histogram_v1,random,1209,1209,0.00199981
histogram_v1,random,1272,1272,0.00198294
histogram_v1,random,1273,1273,0.00211724
histogram_v1,random,1336,1336,0.00245653
histogram_v1,random,1337,1337,0.00251275
histogram_v1,random,1400,1400,0.0026906
histogram_v1,random,1401,1401,0.00276031
histogram_v1,random,1464,1464,0.00302266
histogram_v1,random,1465,1465,0.00302444
histogram_v1,random,1528,1528,0.00326235
histogram_v1,random,1529,1529,0.00306924
histogram_v1,random,1592,1592,0.00345572
histogram_v1,random,1593,1593,0.00350325
histogram_v1,random,1656,1656,0.00376002
histogram_v1,random,1657,1657,0.00363016
histogram_v1,random,1720,1720,0.00383145
histogram_v1,random,1721,1721,0.00401157
histogram_v1,random,1784,1784,0.00419726
histogram_v1,random,1785,1785,0.00440119
histogram_v1,random,1848,1848,0.00453934
histogram_v1,random,1849,1849,0.00460513
histogram_v1,random,1912,1912,0.00497455
histogram_v1,random,1913,1913,0.00454325
histogram_v1,random,1976,1976,0.00533106
histogram_v1,random,1977,1977,0.00530881
histogram_v1,random,2040,2040,0.00570498
histogram_v1,random,2041,2041,0.00570265
histogram_v1,random,2104,2104,0.00601756
histogram_v1,random,2105,2105,0.00601769
histogram_v1,random,2168,2168,0.00636088
histogram_v1,random,2169,2169,0.00633983
histogram_v1,random,2232,2232,0.00640821
histogram_v1,random,2233,2233,0.00667411
histogram_v1,random,2296,2296,0.00679536
histogram_v1,random,2297,2297,0.00685515
histogram_v1,random,2360,2360,0.00753457
histogram_v1,random,2361,2361,0.00721557
histogram_v1,random,2424,2424,0.00789633
histogram_v1,random,2425,2425,0.00753209
histogram_v1,random,2488,2488,0.00834717
histogram_v1,random,2489,2489,0.00779322
histogram_v1,random,2552,2552,0.00844452
histogram_v1,random,2553,2553,0.00862011
histogram_v1,random,2616,2616,0.00919503
histogram_v1,random,2617,2617,0.0088514
histogram_v1,random,2680,2680,0.00944884
histogram_v1,random,2681,2681,0.0096854
histogram_v1,random,2744,2744,0.00765461
histogram_v1,random,2745,2745,0.00952684
histogram_v1,random,2808,2808,0.00979061
histogram_v1,random,2809,2809,0.0102966
histogram_v1,random,2872,2872,0.0103039
histogram_v1,random,2873,2873,0.011106
histogram_v1,random,2936,2936,0.0115828
histogram_v1,random,2937,2937,0.0113852
histogram_v1,random,3000,3000,0.0104465
histogram_v1,random,3001,3001,0.0119247
histogram_v1,random,3064,3064,0.0121707
histogram_v1,random,3065,3065,0.0121147
histogram_v1,random,3128,3128,0.0124067
histogram_v1,random,3129,3129,0.013099
histogram_v1,random,3192,3192,0.013053
histogram_v1,random,3193,3193,0.0132145
histogram_v1,random,3256,3256,0.0136453
histogram_v1,random,3257,3257,0.011379
histogram_v1,random,3320,3320,0.0144328
histogram_v1,random,3321,3321,0.0147389
histogram_v1,random,3384,3384,0.0147523
histogram_v1,random,3385,3385,0.0153201
histogram_v1,random,3448,3448,0.0159011
histogram_v1,random,3449,3449,0.0158953
histogram_v1,random,3512,3512,0.0163902
histogram_v1,random,3513,3513,0.0154059
histogram_v1,random,3576,3576,0.0171183
histogram_v1,random,3577,3577,0.0167109
histogram_v1,random,3640,3640,0.0168976
histogram_v1,random,3641,3641,0.0171837
histogram_v1,random,3704,3704,0.0168597
histogram_v1,random,3705,3705,0.0178709
histogram_v1,random,3768,3768,0.0186879
histogram_v1,random,3769,3769,0.0184021
histogram_v1,random,3832,3832,0.0190901
histogram_v1,random,3833,3833,0.0187021
histogram_v1,random,3896,3896,0.0195451
histogram_v1,random,3897,3897,0.0193318
histogram_v1,random,3960,3960,0.0209759
histogram_v1,random,3961,3961,0.0203918
histogram_v1,random,4024,4024,0.0205919
histogram_v1,random,4025,4025,0.0202677
histogram_v1,random,4088,4088,0.0217785
histogram_v1,random,4089,4089,0.0223101
histogram_v1,random,32,32,0.000112199
histogram_v1,random,33,33,0.000116404
